Questions,Adult Men,Age 18 - 34,Age 35 - 64,Age 65 and up,Race_White,Race_Non-white,Has children,No children,Sexual Orientation_Straight,Sexual Orientation_Gay/Bisexual,Adult Men ,
"In general, how masculine or ""manly"" do you feel? : Very masculine",37%,29%,42%,37%,34%,44%,43%,30%,40%,21%,37,0.0021
"In general, how masculine or ""manly"" do you feel? : Somewhat masculine",46%,47%,46%,47%,50%,39%,47%,46%,47%,49%,46,0.0049
"In general, how masculine or ""manly"" do you feel? : Not very masculine",11%,13%,9%,13%,11%,11%,6%,17%,10%,19%,11,0.0019
"In general, how masculine or ""manly"" do you feel? : Not at all masculine",5%,10%,2%,3%,4%,6%,3%,6%,3%,10%,5,0.001
"In general, how masculine or ""manly"" do you feel? : No answer",1%,0%,1%,1%,1%,0%,1%,0%,1%,0%,,
How important is it to you that others see you as masculine? : Very important,16%,18%,17%,13%,11%,26%,17%,15%,16%,11%,16,0.0011
How important is it to you that others see you as masculine? : Somewhat important,37%,38%,37%,32%,38%,35%,37%,37%,38%,33%,37,0.0033
How important is it to you that others see you as masculine? : Not too important,28%,18%,31%,37%,32%,20%,29%,27%,29%,36%,28,0.0036
How important is it to you that others see you as masculine? : Not at all important,18%,26%,15%,18%,18%,19%,17%,21%,17%,19%,18,0.0019
How important is it to you that others see you as masculine? : No answer,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,,
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Father or father figure(s),64%,58%,66%,64%,65%,60%,67%,60%,65%,59%,64,0.0059
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Mother or mother figure(s),41%,42%,41%,42%,42%,40%,43%,39%,41%,40%,41,0.004
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Friends,35%,42%,33%,31%,35%,36%,31%,40%,34%,43%,35,0.0043
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Other family members,35%,37%,36%,31%,34%,37%,36%,34%,35%,37%,35,0.0037
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Pop culture,23%,42%,17%,12%,21%,29%,13%,35%,20%,44%,23,0.0044
Where have you gotten your ideas about what it means to be a good man? (Select all that apply.) : Other (please specify),17%,11%,18%,21%,18%,13%,20%,12%,18%,10%,17,0.001
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : Yes,60%,70%,57%,53%,58%,65%,56%,66%,58%,81%,60,0.0081
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : No,39%,29%,42%,47%,41%,35%,44%,34%,41%,19%,39,0.0019
Do you think that society puts pressure on men in a way that is unhealthy or bad for them? : No answer,1%,0%,1%,1%,1%,0%,1%,0%,1%,0%,,
Ask a friend for professional advice : Often,15%,26%,12%,5%,11%,23%,12%,18%,14%,26%,15,0.0026
Ask a friend for professional advice : Sometimes,42%,36%,46%,40%,43%,39%,44%,40%,42%,43%,42,0.0043
Ask a friend for professional advice : Rarely,23%,13%,25%,35%,28%,14%,26%,20%,25%,14%,23,0.0014
"Ask a friend for professional advice : Never, but open to it",12%,15%,11%,12%,12%,12%,9%,16%,12%,12%,12,0.0012
"Ask a friend for professional advice : Never, and not open to it",7%,9%,5%,6%,5%,10%,7%,6%,7%,4%,7,0.0004
Ask a friend for professional advice : No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%,,
Ask a friend for personal advice : Often,14%,22%,12%,5%,11%,18%,11%,17%,11%,29%,14,0.0029
Ask a friend for personal advice : Sometimes,41%,39%,45%,36%,43%,39%,43%,39%,43%,37%,41,0.0037
Ask a friend for personal advice : Rarely,27%,17%,28%,39%,29%,22%,31%,23%,29%,20%,27,0.002
"Ask a friend for personal advice : Never, but open to it",10%,11%,9%,10%,10%,9%,8%,12%,9%,11%,10,0.0011
"Ask a friend for personal advice : Never, and not open to it",7%,9%,5%,7%,5%,10%,6%,8%,6%,2%,7,0.0002
Ask a friend for personal advice : No answer,1%,2%,1%,3%,1%,1%,1%,2%,1%,0%,,
"Express physical affection to male friends, like hugging, rubbing shoulders : Often",14%,21%,11%,11%,12%,17%,11%,17%,10%,44%,14,0.0044
"Express physical affection to male friends, like hugging, rubbing shoulders : Sometimes",28%,25%,31%,25%,29%,27%,29%,27%,29%,23%,28,0.0023
"Express physical affection to male friends, like hugging, rubbing shoulders : Rarely",25%,19%,28%,30%,27%,21%,27%,23%,27%,20%,25,0.002
"Express physical affection to male friends, like hugging, rubbing shoulders : Never, but open to it",10%,14%,7%,9%,9%,11%,8%,11%,9%,11%,10,0.0011
"Express physical affection to male friends, like hugging, rubbing shoulders : Never, and not open to it",22%,21%,23%,23%,22%,23%,24%,20%,25%,2%,22,0.0002
"Express physical affection to male friends, like hugging, rubbing shoulders : No answer",1%,0%,1%,2%,1%,1%,1%,1%,1%,0%,,
Cry : Often,7%,13%,5%,3%,6%,10%,3%,12%,4%,26%,7,0.0026
Cry : Sometimes,33%,35%,33%,30%,33%,32%,32%,33%,30%,48%,33,0.0048
Cry : Rarely,38%,30%,42%,41%,41%,32%,42%,34%,41%,23%,38,0.0023
"Cry : Never, but open to it",10%,8%,10%,12%,11%,8%,11%,8%,11%,2%,10,0.0002
"Cry : Never, and not open to it",9%,14%,6%,6%,6%,15%,7%,10%,10%,1%,9,0.0001
Cry : No answer,4%,0%,4%,9%,4%,3%,5%,3%,5%,1%,4,0.0001
Get in a physical fight with another person : Often,2%,5%,1%,0%,0%,5%,1%,3%,2%,5%,2,0.0005
Get in a physical fight with another person : Sometimes,5%,10%,2%,5%,5%,5%,4%,6%,4%,4%,5,0.0004
Get in a physical fight with another person : Rarely,23%,22%,26%,17%,22%,25%,24%,21%,25%,14%,23,0.0014
"Get in a physical fight with another person : Never, but open to it",19%,19%,21%,14%,20%,17%,21%,17%,19%,16%,19,0.0016
"Get in a physical fight with another person : Never, and not open to it",50%,43%,50%,64%,52%,47%,49%,52%,50%,61%,50,0.0061
Get in a physical fight with another person : No answer,1%,2%,1%,1%,0%,3%,0%,2%,1%,0%,,
"Have sexual relations with women, including anything from kissing to sex : Often",37%,41%,39%,28%,39%,34%,45%,29%,42%,12%,37,0.0012
"Have sexual relations with women, including anything from kissing to sex : Sometimes",26%,11%,31%,34%,25%,27%,27%,24%,28%,6%,26,0.0006
"Have sexual relations with women, including anything from kissing to sex : Rarely",13%,14%,12%,16%,14%,12%,12%,14%,13%,8%,13,0.0008
"Have sexual relations with women, including anything from kissing to sex : Never, but open to it",10%,19%,6%,9%,9%,13%,7%,15%,8%,25%,10,0.0025
"Have sexual relations with women, including anything from kissing to sex : Never, and not open to it",11%,16%,10%,9%,11%,13%,7%,17%,6%,47%,11,0.0047
"Have sexual relations with women, including anything from kissing to sex : No answer",2%,0%,2%,4%,2%,2%,2%,1%,2%,2%,2,0.0002
"Have sexual relations with men, including anything from kissing to sex : Often",5%,10%,4%,1%,4%,8%,1%,9%,0%,41%,5,0.0041
